no,image,object,text,situation,modifier
1,image1-1.png,apples,There are four apples in the boxes.,precise,bare
1,image1-1.png,apples,There are at least four apples in the boxes.,precise,superlative
1,image1-1.png,apples,There are more than three apples in the boxes.,precise,comparative
1,image1-2.png,apples,There are four apples in the boxes.,approximate,bare
1,image1-2.png,apples,There are at least four apples in the boxes.,approximate,superlative
1,image1-2.png,apples,There are more than three apples in the boxes.,approximate,comparative
2,image2-1.png,bananas,There are four bananas in the boxes.,precise,bare
2,image2-1.png,bananas,There are at least four bananas in the boxes.,precise,superlative
2,image2-1.png,bananas,There are more than three bananas in the boxes.,precise,comparative
2,image2-2.png,bananas,There are four bananas in the boxes.,approximate,bare
2,image2-2.png,bananas,There are at least four bananas in the boxes.,approximate,superlative
2,image2-2.png,bananas,There are more than three bananas in the boxes.,approximate,comparative
3,image3-1.png,ice cream cones,There are four ice cream cones in the boxes.,precise,bare
3,image3-1.png,ice cream cones,There are at least four ice cream cones in the boxes.,precise,superlative
3,image3-1.png,ice cream cones,There are more than three ice cream cones in the boxes.,precise,comparative
3,image3-2.png,ice cream cones,There are four ice cream cones in the boxes.,approximate,bare
3,image3-2.png,ice cream cones,There are at least four ice cream cones in the boxes.,approximate,superlative
3,image3-2.png,ice cream cones,There are more than three ice cream cones in the boxes.,approximate,comparative
4,image4-1.png,candies,There are four candies in the boxes.,precise,bare
4,image4-1.png,candies,There are at least four candies in the boxes.,precise,superlative
4,image4-1.png,candies,There are more than three candies in the boxes.,precise,comparative
4,image4-2.png,candies,There are four candies in the boxes.,approximate,bare
4,image4-2.png,candies,There are at least four candies in the boxes.,approximate,superlative
4,image4-2.png,candies,There are more than three candies in the boxes.,approximate,comparative
5,image5-1.png,forks,There are four forks in the boxes.,precise,bare
5,image5-1.png,forks,There are at least four forks in the boxes.,precise,superlative
5,image5-1.png,forks,There are more than three forks in the boxes.,precise,comparative
5,image5-2.png,forks,There are four forks in the boxes.,approximate,bare
5,image5-2.png,forks,There are at least four forks in the boxes.,approximate,superlative
5,image5-2.png,forks,There are more than three forks in the boxes.,approximate,comparative
6,image6-1.png,knives,There are four knives in the boxes.,precise,bare
6,image6-1.png,knives,There are at least four knives in the boxes.,precise,superlative
6,image6-1.png,knives,There are more than three knives in the boxes.,precise,comparative
6,image6-2.png,knives,There are four knives in the boxes.,approximate,bare
6,image6-2.png,knives,There are at least four knives in the boxes.,approximate,superlative
6,image6-2.png,knives,There are more than three knives in the boxes.,approximate,comparative
7,image7-1.png,strawberries,There are four strawberries in the boxes.,precise,bare
7,image7-1.png,strawberries,There are at least four strawberries in the boxes.,precise,superlative
7,image7-1.png,strawberries,There are more than three strawberries in the boxes.,precise,comparative
7,image7-2.png,strawberries,There are four strawberries in the boxes.,approximate,bare
7,image7-2.png,strawberries,There are at least four strawberries in the boxes.,approximate,superlative
7,image7-2.png,strawberries,There are more than three strawberries in the boxes.,approximate,comparative
