No,image,text,context,modifier,gpt,gemini
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,TRUE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,TRUE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,TRUE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,FALSE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,TRUE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,FALSE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,TRUE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,TRUE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,TRUE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,TRUE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,FALSE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
1,image1-1.png,There are four apples in the boxes.,precise,bare,TRUE,FALSE
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,TRUE,TRUE
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,FALSE,TRUE
1,image1-2.png,There are four apples in the boxes.,approximate,bare,FALSE,TRUE
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,FALSE,TRUE
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,FALSE,TRUE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,TRUE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,TRUE,TRUE
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,TRUE,TRUE
2,image2-1.png,There are four bananas in the boxes.,precise,bare,TRUE,FALSE
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,TRUE,TRUE
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,TRUE,FALSE
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,TRUE,FALSE
