id,image_path,text,situation,modifier,model,score
1,image1-1.png,There are four apples in the boxes.,precise,bare,gpt,4
1,image1-1.png,There are four apples in the boxes.,precise,bare,gpt,4
1,image1-1.png,There are four apples in the boxes.,precise,bare,gpt,4
1,image1-1.png,There are four apples in the boxes.,precise,bare,gpt,4
1,image1-1.png,There are four apples in the boxes.,precise,bare,gpt,4
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,gpt,4
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,gpt,3
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,gpt,7
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,gpt,4
1,image1-1.png,There are at least four apples in the boxes.,precise,superlative,gpt,3
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,gpt,4
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,gpt,3
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,gpt,3
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,gpt,3
1,image1-1.png,There are more than three apples in the boxes.,precise,comparative,gpt,3
1,image1-2.png,There are four apples in the boxes.,approximate,bare,gpt,3
1,image1-2.png,There are four apples in the boxes.,approximate,bare,gpt,3
1,image1-2.png,There are four apples in the boxes.,approximate,bare,gpt,1
1,image1-2.png,There are four apples in the boxes.,approximate,bare,gpt,2
1,image1-2.png,There are four apples in the boxes.,approximate,bare,gpt,3
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,gpt,3
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,gpt,3
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,gpt,3
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,gpt,5
1,image1-2.png,There are at least four apples in the boxes.,approximate,superlative,gpt,3
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,gpt,3
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,gpt,3
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,gpt,5
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,gpt,3
1,image1-2.png,There are more than three apples in the boxes.,approximate,comparative,gpt,4
2,image2-1.png,There are four bananas in the boxes.,precise,bare,gpt,7
2,image2-1.png,There are four bananas in the boxes.,precise,bare,gpt,7
2,image2-1.png,There are four bananas in the boxes.,precise,bare,gpt,7
2,image2-1.png,There are four bananas in the boxes.,precise,bare,gpt,7
2,image2-1.png,There are four bananas in the boxes.,precise,bare,gpt,7
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,gpt,7
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,gpt,7
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,gpt,7
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,gpt,7
2,image2-1.png,There are at least four bananas in the boxes.,precise,superlative,gpt,7
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,gpt,7
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,gpt,7
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,gpt,7
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,gpt,7
2,image2-1.png,There are more than three bananas in the boxes.,precise,comparative,gpt,7
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,gpt,6
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,gpt,6
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,gpt,3
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,gpt,6
2,image2-2.png,There are four bananas in the boxes.,approximate,bare,gpt,6
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,gpt,7
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,gpt,6
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,gpt,7
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,gpt,5
2,image2-2.png,There are at least four bananas in the boxes.,approximate,superlative,gpt,6
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,gpt,7
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,gpt,7
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,gpt,7
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,gpt,6
2,image2-2.png,There are more than three bananas in the boxes.,approximate,comparative,gpt,7
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,gpt,3
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,gpt,7
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,gpt,3
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,gpt,3
3,image3-1.png,There are four ice cream cones in the boxes.,precise,bare,gpt,7
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,gpt,7
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,gpt,7
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,gpt,7
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,gpt,7
3,image3-1.png,There are at least four ice cream cones in the boxes.,precise,superlative,gpt,7
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,gpt,5
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,gpt,5
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,gpt,5
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,gpt,4
3,image3-1.png,There are more than three ice cream cones in the boxes.,precise,comparative,gpt,7
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,gpt,5
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,gpt,3
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,gpt,3
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,gpt,5
3,image3-2.png,There are four ice cream cones in the boxes.,approximate,bare,gpt,3
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,gpt,7
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,gpt,5
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,gpt,5
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,gpt,6
3,image3-2.png,There are at least four ice cream cones in the boxes.,approximate,superlative,gpt,5
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,gpt,6
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,gpt,6
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,gpt,5
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,gpt,6
3,image3-2.png,There are more than three ice cream cones in the boxes.,approximate,comparative,gpt,6
4,image4-1.png,There are four candies in the boxes.,precise,bare,gpt,1
4,image4-1.png,There are four candies in the boxes.,precise,bare,gpt,3
4,image4-1.png,There are four candies in the boxes.,precise,bare,gpt,3
4,image4-1.png,There are four candies in the boxes.,precise,bare,gpt,3
4,image4-1.png,There are four candies in the boxes.,precise,bare,gpt,3
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,gpt,7
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,gpt,7
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,gpt,7
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,gpt,7
4,image4-1.png,There are at least four candies in the boxes.,precise,superlative,gpt,7
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,gpt,7
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,gpt,7
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,gpt,7
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,gpt,7
4,image4-1.png,There are more than three candies in the boxes.,precise,comparative,gpt,7
4,image4-2.png,There are four candies in the boxes.,approximate,bare,gpt,3
4,image4-2.png,There are four candies in the boxes.,approximate,bare,gpt,3
4,image4-2.png,There are four candies in the boxes.,approximate,bare,gpt,3
4,image4-2.png,There are four candies in the boxes.,approximate,bare,gpt,3
4,image4-2.png,There are four candies in the boxes.,approximate,bare,gpt,3
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,gpt,5
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,gpt,5
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,gpt,5
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,gpt,5
4,image4-2.png,There are at least four candies in the boxes.,approximate,superlative,gpt,3
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,gpt,7
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,gpt,6
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,gpt,5
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,gpt,6
4,image4-2.png,There are more than three candies in the boxes.,approximate,comparative,gpt,5
5,image5-1.png,There are four forks in the boxes.,precise,bare,gpt,1
5,image5-1.png,There are four forks in the boxes.,precise,bare,gpt,1
5,image5-1.png,There are four forks in the boxes.,precise,bare,gpt,1
5,image5-1.png,There are four forks in the boxes.,precise,bare,gpt,1
5,image5-1.png,There are four forks in the boxes.,precise,bare,gpt,3
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,gpt,7
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,gpt,7
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,gpt,7
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,gpt,7
5,image5-1.png,There are at least four forks in the boxes.,precise,superlative,gpt,7
5,image5-1.png,There are more than three forks in the boxes.,precise,comparative,gpt,7
